序号,微博内容,是否原创,转发内容,发布时间,转发数,评论数,点赞数,设备源,微博ID
0,9月21日，我社区举办了一场“欢度国庆、喜迎十八大文体表演联欢会。此次活动共有100多人参加，充分展示了社区居民激情昂扬的晚年风采。 ​​​​,否,,2012-09-24 15:35,20,1,赞,专业版微博,https://weibo.com/2645278417/yDmmSxWnc
1,请勿轻信短信中奖：通过手机短信息告诉您，在某某公司促销抽奖活动中，您的手机号码在抽奖活动中了奖。要求汇礼品托运费或个人所得税等各种名目费用到指定的银行账号。如果您按要求汇款，你们可能已经被骗了。“恭喜你中大奖了！”收到这样的手机短信息，你别高兴得太早，这是骗子的圈套。 ​​​​,否,,2012-08-23 10:55,2,评论,赞,微博 weibo.com,https://weibo.com/2645278417/yysR1jiaB
2,防范马路诈骗：马路诈骗花招百出，但只要不存贪念，遇事遵行“停、看、听”守则，冷静以对，受骗机会就会减少。 ​​​​,否,,2012-08-23 10:54,转发,评论,赞,微博 weibo.com,https://weibo.com/2645278417/yysQJhKhW
3,温馨提示：秋季三个月的饮食总原则：宜少食辛味，多食酸味，即减少食用辛辣口味的食物，饮食以滋阴润肺，回收阳气为主，即平稳地完成夏冬两季热、冷的交替。多食性温之食，少食寒凉之物，以巩固摄人体内的正气。由于天气干燥、凉爽变化不同，饮食原则可依据节气的变化相应调节。 ​​​​,否,,2012-08-23 10:49,转发,评论,赞,微博 weibo.com,https://weibo.com/2645278417/yysOF2PXt
4,转发微博,是,"明天就是中国的传统节日""七夕""节了,曾有商贩向年轻情侣卖力兜售孔明灯,并美其名曰""许愿灯"",声称可帮助燃放者实现心愿。实际上,孔明灯属于明火,燃放后很难控制,一旦被吹落到房顶上,或者其他易燃物上,很容易引发火灾,甚至还有可能影响民航客机的安全。为此提醒,燃放孔明灯隐患重重,追求浪漫时勿忘危险。 ​​​​",2012-08-22 15:45,转发,评论,赞,微博 weibo.com,https://weibo.com/2645278417/yylkCrYDO
5,转发微博,是,"#安全上学# 安全上学, 从上路的第一步开始 。你可以这样做: 设计家庭成员暗语；确定可以寻求帮助的商店；计算路程...... 这份《安全上下学检查》表，望可以帮助您。@平安南粤 @平安北京 @新闻晨报 @新闻晚报 @上海铁警发布 ​​​​",2012-08-22 10:15,转发,评论,赞,专业版微博,https://weibo.com/2645278417/yyjay0d7s
6,转发微博,是,【泡脚缓解感冒症状】中医认为感冒多因感受外邪，肺卫功能失调所致。而药浴泡脚是以宣肺解表、发汗排邪为则。现代研究表明黄芩、桑叶、菊花，具有抗菌抗病毒的作用，同时还具有疏风散热之功效。药浴浸泡双脚可以改善血液循环，增强机体的免疫功能，消炎、抗菌，缩短病程，减少并发症及预防感冒的复发。 ​​​​,2012-08-16 14:47,转发,评论,赞,微博 weibo.com,https://weibo.com/2645278417/yxqnHpRt0
7,转发微博,是,#健康知识#【防脱发小妙招】睡觉前，将双手十指插入发内，从前额经头顶到后脑揉搓头皮，每次5分钟。可改善头皮营养，调节皮脂分泌，促进头皮血液循环，增进局部的新陈代谢，起到防脱发的作用。梳头用黄杨木梳或猪鬃头刷，既能去除头屑，增加头发光泽，又能按摩头皮，促进血液循环。 ​​​​,2012-08-16 14:46,转发,评论,赞,微博 weibo.com,https://weibo.com/2645278417/yxqnCnx1Q
8,转发微博,是,【牙膏快速去黑头】材料：天然植物纯白色牙膏（避免伤害肌肤）。步骤：1、热水或蒸汽蒸面，利于深层清洁毛孔。2、清洁面部，挤出小量的牙膏涂在长黑头的部位，并将其均匀推开。3、5分钟左右，用清水将牙膏冲洗干净就OK啦。ps：不适用敏感肌和痘痘肌~火速拯救肌肤，就关注@皮肤急救SOS  ​​​​,2012-08-16 14:09,转发,评论,赞,微博 weibo.com,https://weibo.com/2645278417/yxq8hcikN
9,转发微博,是,#健康知识#【孕期该吃什么油】橄榄油富含维生素E，人体必需脂肪酸欧米伽3与欧米伽6的比例为1：4，同人乳相似。橄榄油有助于平衡新陈代谢，促进胎儿神经系统、骨骼和大脑发育。孕妇可以早晚饮一小勺橄榄油，除了有通便作用，对准妈妈的血压也会有很好的调节作用。此外，做菜也可以用橄榄油。 ​​​​,2012-08-16 14:08,转发,评论,赞,微博 weibo.com,https://weibo.com/2645278417/yxq7V3zlt
