序号,微博内容,是否原创,转发内容,发布时间,转发数,评论数,点赞数,设备源,微博ID
0,转发微博,是,#锡铁百科#【高温天气消防安全提醒】[推荐][推荐]夏季气温高，是火灾的多发季节，特别是易燃易爆危险品、电器、汽车、柴草堆垛等更易引起火灾事故。为此，湖南消防温馨提示广大市民：夏季高温天气要时刻保持安全防火意识，注意防火安全。 ​​​​,2017-08-07 11:21,转发,评论,赞,微博搜索,https://weibo.com/5451101305/FfYm3wyvO
1,转发微博,是,#消防知识#【这条微博一定要让所有家长看到！孩子放暑假，安全决不能放假】拐卖、火灾、触电、坠落……原来别人家的孩子懂那么多。为了孩子们的生命安全，父母一定要看！最好也给孩子看一看！L孩子放暑假，安全教育不放假 ​​​ ​​​​,2017-08-07 11:20,转发,评论,赞,微博搜索,https://weibo.com/5451101305/FfYm0zErf
2,转发微博,是,"#今日立秋# 【消防提示：“秋老虎”发威 当心“火上加火”】立秋，是二十四节气中的第13个节气，而""秋""就是指暑去凉来，意味着秋天的开始。虽然夏天已过去，但“秋老虎”发威不可小觑，甘肃消防提示您：注意秋季防火，谨防“秋老虎”发威。 ​​​​",2017-08-07 11:15,转发,评论,赞,微博搜索,https://weibo.com/5451101305/FfYk13NFy
3,转发微博,是,,2017-08-07 11:15,转发,评论,赞,微博搜索,https://weibo.com/5451101305/FfYjXefzs
4,转发微博,是,#高层建筑防火# 【住在高层的您，必须掌握的逃生常识，救命用的】一旦高层建筑起火，最能依赖的就是楼内的消防设施。如果你不会救火，那就要想办法第一时间选择逃生。怎么逃？这也有讲究：      ●开门前先用手触摸门把锁，如果门锁温度很高，或有烟雾从门缝中往里钻，说明大火或浓烟已封锁房门出 ​​​​...展开全文c,2017-08-07 11:13,转发,评论,1,微博搜索,https://weibo.com/5451101305/FfYj1D619
5,转发微博,是,#消防知识#【防范高层住宅火灾】随着经济社会的不断发展，高层住宅成了彰显一个城市发展的标志。随着建筑高度的不断刷新，与之俱来的消防管理工作也越来越繁重，如何能够预防高层住宅小区发生火灾事故就成了一个关键性问题。在此，@芜湖消防 温馨提示： ​ ​​​​,2017-08-07 11:13,转发,评论,赞,微博搜索,https://weibo.com/5451101305/FfYiRzEQI
6,转发微博,是,#山东交警话安全# 你还在占用消防车通道？你是否承受得了这样的后果？ L秒拍视频 ​​​​,2017-08-04 11:34,转发,评论,赞,微博搜索,https://weibo.com/5451101305/Ffw9TnMvO
7,转发微博,是,入住前，应确认宾馆（饭店）具有完善的消防设施及安全通道。包括：消防通道的畅通，房间内配备有移动的消防器材和火灾逃生用的呼吸面具。     4、进入房间时，首先认真阅读宾馆（饭店）消防逃生图，了解所在位置的逃生路线及逃生通道门能从楼道内打开。确认室内的消防器材和火灾逃生用的呼吸面具的存放 ​​​​...展开全文c,2017-08-04 11:33,转发,评论,赞,微博搜索,https://weibo.com/5451101305/Ffw9rB0TR
8,转发微博,是,#消防知识#【分步骤教孩子学习消防知识 快来一起学】消防安全知识是孩子需要学习的最重要的事情之一。由孩子们引起的火灾每年占据了不小的比重。所有火灾事故中，有15%到20%的受害者是孩子。通过教学消防安全知识，可以帮助防止你的孩子和你的家庭成为火灾统计数据的一员。如何教孩子？ ​​​​,2017-08-04 11:32,转发,评论,赞,微博搜索,https://weibo.com/5451101305/Ffw9nrAnQ
9,转发微博,是,#消防提示#【漫漫长夜 防火很重要】晚上想睡个安稳觉？好吧，陕西消防给您六条暖心小贴士，让你的夜间火灾抵御能力飙升~一定要记住哦！ ​ ​​​​,2017-07-20 08:39,转发,评论,赞,微博搜索,https://weibo.com/5451101305/FddBpb7mq
10,转发微博,是,【超实用的夏天防火常识】[推荐]夏季天气炎热持续高温，单位和家庭要安全用电，不超负荷用电，及时检查、更换线路老化，绝缘层破损、变暗的电线，在插线板上使用多个电器时注意不超过插线板额定功率；出门时要关掉电源。另外单位还要加强防火检查，及时消除隐患，遏制易燃易爆危险品火灾发生。 ​​​​,2017-07-20 08:38,转发,评论,赞,微博搜索,https://weibo.com/5451101305/FddBmftkl
