序号,微博内容,是否原创,转发内容,发布时间,转发数,评论数,点赞数,设备源,微博ID
0,想知道房山新城滨水森林公园在哪的同学看这里~,是,@水润京华 @Funhill房山 #路线#房山新城滨水森林公园路线图 ​​​​,2012-09-29 14:43,5,评论,赞,iPhone客户端,https://weibo.com/2417144265/yE7a6zu6K
1,【《北京市河湖保护管理条例》新闻发布会召开】《北京市河湖保护管理条例》将于10月1日起施行。新《条例》明确了河湖保护管理的基本原则和管理体制；规范了河湖治理及保护管理规划的编制；完善了河湖工程保护与管理制度；健全了河湖水环境保护与管理措施。 ​​​​,否,,2012-09-29 13:17,1,1,赞,政府版微博,https://weibo.com/2417144265/yE6BaEMdX
2,【潮白河流域增绿5万亩 密云水库蓄水量达到近十年最高】 ​​​​,否,,2012-09-29 09:31,3,2,赞,微博 weibo.com,https://weibo.com/2417144265/yE57D7i24
3,今天9月29日 (周六)，天气:晴好，微风，气温 25℃～10℃。市气象台预计节日期间天气不错，大部分时间晴间多云，最高气温24到26℃，最低气温12到15℃，有利于出行。祝大家度过一个美好、愉快、有意义的假期哦~ ​​​​,否,,2012-09-29 09:15,1,评论,赞,微博 weibo.com,https://weibo.com/2417144265/yE516zDx3
4,房山新城滨水森林公园国庆开门迎客咯~  有空去玩吧~[放假啦],是,房山新城滨水森林公园国庆开门迎客@水润京华 @北京发布 @Funhill房山 @畅游公园 ​​​​,2012-09-28 16:16,4,5,赞,政府版微博,https://weibo.com/2417144265/yDYlbrhWr
5,【市自来水集团提醒市民】插卡式水表用户请及时查看水表剩余水量情况，提前购足水量。如长时间外出家中无人居住（特别是平房院），请关闭户内自来水截门。同时提醒长时间外出的用户，为防止户内跑水维修不便，请把联系方式留给物业、房管等部门，以防突发事故时进行维修。用水遇到问题请拨打96116热线 ​​​​,否,,2012-09-28 15:00,2,评论,赞,360安全浏览器,https://weibo.com/2417144265/yDXQFEEq2
6,【“水上花园”让水质得到净化】 ​​​​,否,,2012-09-28 14:05,2,2,赞,360安全浏览器,https://weibo.com/2417144265/yDXu80vsl
7,"为了不堵,请您参考",是,#出行提示# “十一”黄金周期间本市所有收费公路将对7座以下（含7座）小客车免费通行，预计节日期间市域内主要高速公路车流量将有大幅上升，易出现交通拥堵。@交通北京 为您准备了市域内8条主要高速公路拥堵绕行路线图，请您参考：[推荐] ​​​​,2012-09-28 13:47,5,评论,赞,政府版微博,https://weibo.com/2417144265/yDXmJ9yvx
8,今天9月28日(周五) 白天晴间多云北风五六转三四级，夜间晴间多云北风二三级，气温22到11℃。风大请注意保暖。[龙卷风] ​​​​,否,,2012-09-28 09:46,转发,评论,赞,360安全浏览器,https://weibo.com/2417144265/yDVMSo4Ud
9,【雨量对比】1月1日至今，北京全市平均降水量609毫米，去年同期527毫米，多年平均同期551毫米。6月1日至今，全市平均降水量532毫米，去年同期479毫米，多年平均同期484毫米。 ​​​​,否,,2012-09-28 08:12,转发,评论,赞,小米手机,https://weibo.com/2417144265/yDVaLzcEd
