序号,微博内容,是否原创,转发内容,发布时间,转发数,评论数,点赞数,设备源,微博ID
0,【汶川一小入选全国文明校园候选名单】9月27日，记者从中国文明网获悉，中央文明办公示了第一届全国文明校园候选名单。四川省22所学校入选，汶川县第一小学校上榜。记者了解到，创建期内学校领导班子成员有严重违纪、违法事件，有重大校园安全责任事故、重大消防责任事故，有严重违规办学(办班)等问题的，将被取消评选资格或撤销荣誉称号。,否,,2017-09-30 15:36,转发,评论,4,微博 weibo.com,https://weibo.com/2104296815/Fod6y1VPp
1,【缅怀英烈 阿坝州举行公祭烈士活动】9月30日是我国烈士纪念日。当天上午，2017年阿坝州暨茂县公祭烈士活动在茂县革命烈士陵园举行，州、县领导干部及社会各界代表220余人参加公祭活动。9时30分，公祭活动正式开始，全场肃立，奏唱《中华人民共和国国歌》，共同为烈士默哀。随后，现场60余名少先队员唱响《我们是共产主义接班人》。伴随着《献花曲》的旋律，14名礼兵抬着7个花篮缓步将花篮摆放在纪念碑前。当天，阿坝州黑水县等地也分别举行公祭活动，缅怀革命英烈，传承革命精神。,否,,2017-09-30 15:28,4,评论,28,微博 weibo.com,https://weibo.com/2104296815/Fod3svlfi
2,【2018年高考艺体类专业招生网报10月10-14日进行】艺体生们注意了，2018年普通高等学校艺术体育类专业招生报名即将启动。9月29日，四川新闻网记者从省教育考试院获悉，报考2018年普通高校艺术体育类（含运动训练、武术与民族传统体育）专业的考生应于2017年10月10日至14日12:00，登录各市州招考办指定网址进行文化考试网上报名。各类专业统考网上报名、缴费的时间为：2017年11月1日至4日17:00，逾期不再补报。,否,,2017-09-30 11:10,转发,1,1,微博 weibo.com,https://weibo.com/2104296815/FobmG7tbh
3,【九寨沟县地震灾后首个校园应急示范站成立】“高新九寨心连心，震后九寨更美丽。”9月28日下午，由成都高新区志愿者协会党支部、成都市义工联合会党支部联合主办的“支援九寨沟县第四小学应急示范站建设暨校园信息建设项目”捐赠仪式在九寨沟县第四小学举行。捐赠活动上，由成都高新区志愿者协会援建的九寨沟县第四小学应急示范站揭牌，这标志着九寨沟地震灾后首个建成的校园应急示范站正式建立。,否,,2017-09-30 11:09,转发,评论,3,微博 weibo.com,https://weibo.com/2104296815/FobmfxW0e
4,#阿坝这五年##阿坝依然美丽#【阿坝高原 民族团结之花常开常盛】每当夜幕降临，华灯初上，马尔康文化宫广场上热闹非凡。伴着旋律优美的锅庄音乐，各族干部群众跳起欢快的锅庄，开启了愉快的晚间模式。藏族、羌族、回族、汉族，不同民族；大到耄耋、小到垂髫，不同年龄；本地群众、外来游客，无论是文化宫前的锅庄舞，还是广场舞，夜幕下，大家手拉手围成“同心圆”，演绎“最炫民族团结风”。潜移默化中“民族连心桥”正稳稳架起，“三好两富”的喜庆景象是当地各族群众生活的真实写照和缩影。O网页链接来源：阿坝日报 ■记者 哈斯满,否,,2017-09-29 10:39,2,评论,4,微博 weibo.com,https://weibo.com/2104296815/Fo1Ju6DYC
5,【四川表彰九寨沟地震及茂县山体滑坡抢险救灾先进典型丨全名单】“8·8”九寨沟地震及“6·24”茂县特大山体滑坡灾害发生后，在党中央、国务院和四川省委、省政府的坚强领导下，四川省各级党组织和广大共产党员勇于担当、冲锋在前，为抗震抢险救灾作出了重要贡献，涌现出一大批先进典型。9月28日上午9点，四川省“8·8”九寨沟地震抗震救灾及“6·24”茂县特大山体滑坡灾害抢险救灾表彰大会将在成都新华宾馆会议中心举行。大会总结“8·8”九寨沟地震抗震救灾及“6·24”茂县特大山体滑坡灾害抢险救灾工作，弘扬正气，表彰先进，交流经验，动员全省各级党组织和广大干部群众，在夺取灾后重建和全省经济社会发展双胜利中建功立业。省委书记王东明出席大会并发表讲话。O网页链接,否,,2017-09-29 10:36,1,1,12,微博 weibo.com,https://weibo.com/2104296815/Fo1Ib9vdI
6,#阿坝天气# 今天是2017年9月29日 星期五 农历八月初十 。今日我州都有雨，阿坝、红原和壤塘是中雨转小雨，其他各地都是小雨。气温适宜，只是早晚温差偏大，注意添加衣物，以防感冒哦 ​​​​,否,,2017-09-29 10:22,转发,评论,2,微博 weibo.com,https://weibo.com/2104296815/Fo1CECisn
7,【茂县高中生获2017年成都国际马拉松赛女子组半程赛第一名】9月23日上午8时，东风日产2017年成都国际马拉松赛在成都鸣枪开跑，经过激烈角逐，茂县中学高2017级学生唐庭婉以1时19分13秒荣获女子组半程赛第一名。 ​​​​,否,,2017-09-28 17:49,1,4,24,微博 weibo.com,https://weibo.com/2104296815/FnV7wrzQ4
8,#阿坝这五年#【阿坝州第三季度70个项目今日集中开工】9月28日上午，阿坝州2017年第三季度项目集中开工仪式在阿坝县举行。第三季度项目集中建设包含全州13个市县共70个，总投资52.46亿元，年度计划投资12.58亿元。​这些项目的开工建设将为阿坝藏区经济发展再添后劲。 ​​​​,否,,2017-09-28 17:26,1,1,11,微博 weibo.com,https://weibo.com/2104296815/FnUYe0gv6
9,【羌族作家叶星光作品《红色土司》将拍成电影】近日，我国首部羌族红色题材院线电影《红色土司》摄制组到松潘县选景，为10月20号的正式开机拍摄做好充分的准备。据了解，《红色土司》系阿坝州本土羌族作家、羌文化学者叶星光在其编纂的《安登榜传》和倾注其数年心血创作的文学作品《尔玛魂》基础上改编而成，后又经著名编剧姜华反复修改，精心打磨而成。,否,,2017-09-28 17:23,2,1,14,微博 weibo.com,https://weibo.com/2104296815/FnUX0jNFC
10,【若尔盖：治沙项目植被盖率达70%以上】若尔盖县2011年至2016年防沙治沙的工程项目建设成效已初步显现，已实施的治沙项目植被盖度已达到70%以上。同时，若尔盖县环境保护和林业局对正在实施的治沙项目做出指导，要求对苗木成活率低、植被恢复差的项目必须进行补植补播，监理方必须督促好施工方的工程质量和进度，管护人员必须监管到位，保证治理成效得到有效的保护。,否,,2017-09-28 17:21,1,评论,4,微博 weibo.com,https://weibo.com/2104296815/FnUW0iOC2
11,#阿坝依然美丽#国旗在藏区上空飘扬 ​​​ ​​​​,否,,2017-09-28 11:22,1,1,15,iPhone 6s,https://weibo.com/2104296815/FnSAsd2Ov
12,#阿坝这五年# #马尔康锅庄节#,是,#光影记忆##我带宽窄逍遥游# 昨晚，深深被中央民族大学舞蹈学院及北京舞蹈学院的美仑美唤的精彩表演所折服(二次曝光拍摄舞台表演练习)！其为第六届马尔康嘉绒锅庄文化旅游节活动之一。【光影瞬间精彩相随】@宽窄有度  @阿坝旅游  @马尔康  @浪迹四川  @阿坝微博  @新浪四川 ​​​​,2017-09-28 08:59,1,1,4,iPhone 6s,https://weibo.com/2104296815/FnREtgOfw
13,#阿坝这五年##马尔康锅庄节# 惠民演出完美落幕，感谢来自首都的舞者们为他们点赞 ​​​​,否,,2017-09-27 21:16,1,1,8,iPhone 6s,https://weibo.com/2104296815/FnN2UiKl9
14,#阿坝这五年##马尔康锅庄节# 中央民族大学舞蹈学院和北京舞蹈学院带来的精彩惠民演出 ​​​​,否,,2017-09-27 20:31,1,评论,4,iPhone 6s,https://weibo.com/2104296815/FnMKRy5aR
15,【金秋十月 红原至拉萨航线将正式开通】为更好地推动阿坝州全域旅游快速发展，搭建农牧民群众出行快捷、便利的服务通道。2017年10月，红原机场将开通红原至拉萨航线，该航线是红原机场继成都、重庆两条航线后开通的第三条航线，也是我州首条跨藏区的长距离航线。该航线的开通，标志着“环红原机场旅游经济圈”建设进入新的阶段，对推动川甘青等藏区经济发展和文化交流起到积极作用。红原机场也将以此为契机，积极探索和开展业务，推出适合观光、朝圣等多元化的旅游产品，届时，将吸引更多的游客赴州观光旅游，助力全州旅游产业发展。,否,,2017-09-27 18:07,3,3,10,iPhone 6s,https://weibo.com/2104296815/FnLOmlwY9
16,#阿坝这五年# //@光影相随:回复@叫我悅人 的赞:,是,#光影记忆##我带宽窄逍遥游# 欢乐锅庄跳起来！马尔康第六届嘉绒锅庄文化旅游节开幕了！@宽窄有度  @阿坝旅游  @浪迹四川  @叫我悅人  @阿坝微博 L光影相随的微博视频 ​​​​,2017-09-27 16:03,2,评论,5,iPhone 6s,https://weibo.com/2104296815/FnKZYsHUQ
17,#阿坝这五年# 激情锅庄，舞动马尔康，喜迎十九大,是,【嘉绒锅庄文化旅游节拉开序幕】#五年发展点滴印记##阿坝这五年#  9月26日晚，作为2017阿坝州马尔康第六届嘉绒锅庄文化旅游节活动之一的“大音希声 嘉绒四季”无伴奏合唱专场音乐会在马尔康金晶隆演艺大厅举行。一曲庆贺吉祥的嘉绒藏族无伴奏女声合唱《咚白让》拉开了晚会的序幕。@四川旅游  @新浪旅游 ​​​​...展开全文c,2017-09-27 16:02,2,评论,3,iPhone 6s,https://weibo.com/2104296815/FnKZIveFd
18,#阿坝这五年##马尔康锅庄节# 锅庄节开幕式结束后，十三个县的锅庄队在马尔康街上巡游。 ​​​​,否,,2017-09-27 15:17,13,10,60,iPhone 6s,https://weibo.com/2104296815/FnKHpunb6
19,#阿坝这五年#,是,#马尔康锅庄节# 开幕式结束，全场跳起万人锅庄，一片欢乐的海洋！ ​​​ ​​​​,2017-09-27 11:34,2,1,5,iPhone 6s,https://weibo.com/2104296815/FnJeZ75dk
20,#阿坝这五年#,是,#马尔康锅庄节# 著名嘉绒藏族歌手容中尔甲唱响《神奇的九寨》 ​​​ L阿坝微博的微博视频 ​​​​,2017-09-27 11:34,3,评论,4,iPhone 6s,https://weibo.com/2104296815/FnJeU5ot8
21,#阿坝这五年#,是,#马尔康锅庄节# “天上有多少颗星，锅庄就有多少调：山上有多少棵树，锅庄就有多少词；牦牛身上有多少毛，锅庄就有多少舞姿”，这不仅是人们对马尔康锅庄的赞誉，更是对丰富多彩的阿坝藏羌锅庄的赞誉。阿坝藏羌锅庄，是阿坝儿女的一张名片。今天，我们相聚在这里，用锅庄舞的豪迈，舞动阿坝，舞动激情 ​​​​...展开全文c,2017-09-27 11:34,2,评论,5,iPhone 6s,https://weibo.com/2104296815/FnJeLeB8N
