序号,微博内容,是否原创,转发内容,发布时间,转发数,评论数,点赞数,设备源,微博ID
0,"小金县围绕“三保障”，推动民生改善     ⑴围绕“住房有保障”目标。以“山上向山下靠、偏远向集镇靠、支线向主线靠”为原则，以“保障基本、安全适用、布局合理、功能完善，外观体现地方和民族风貌特色”为标准，出台《小金县易地扶贫搬迁资金管理办法》、《小金县藏区新居实施方案》等规范性文件，注重幸福美丽新村、藏区新居和易地搬迁有机结合。     ⑵围绕“义务教育有保障”目标。设立“爱心教育基金”“教育扶贫救助基金”，发放教育资助金182.5万元，惠及家庭经济困难学生1083人。兑现学前教育“一减一助”、义务教育“三免两补”、高中教育“两免一助”资金1237.25余万元，惠及学生10449人。投入2500余万元，稳步有序实施高家山幼儿园新建、义务教育薄弱学校改造等项目。     ⑶围绕“基本医疗有保障”目标。全面落实贫困人口“十免四补助”政策，包虫病康复治疗中心建设有序推进，县医院与华西等三家医院开通远程会诊，公共卫生服务体系逐步健全。设立“医疗救助爱心基金”“卫生扶贫救助基金”，发放救助金252.44万元，救助921人。设立100万元“健康阿妈基金”，专项救助困难家庭妇女130人。坚持“预防为主”,重点开展包虫病防控工作, 完成包虫病B超筛查3400人，免费药物治疗26例。",否,,2017-09-28 14:30,转发,评论,赞,360安全浏览器,https://weibo.com/1269061822/FnTOJhlr4
1,小金县加大“国庆、中秋”假日期间旅游市场综合监管服务力度  　一是保障旅游市场安全。重点针对易发群体踩踏、地质灾害、火灾、食物中毒等事故的场所，加强安全监管和检查监督，做好隐患排查、预案演练和现场疏导。督促指导各景区（点）按照接待容量合理安排游览活动，严格控制高峰时段游客总量，合理疏导游客，严防拥堵、踩踏等事件发生。 　　二是强化旅游市场监管。进一步提高服务质量和水平，为游客提供良好旅游体验，着力提高游客满意度。按照职责分工开展旅游市场检查。加强投诉处理作为法治管理、法治为民的重要载体，第一时间受理和解决旅游投诉件。 　　三是提升旅游服务水平。大力营造旅游气氛，组织内涵丰富、形式多样、特色鲜明、健康文明的旅游活动。四姑娘山等重点景区（点）要做好景区最大和最佳承载量核定和公示工作，强化自驾游等个性化旅游活动的服务引导。及时发布交通、住宿、游览、气象、卫生、价格等信息，特别是及时发布暴雨、泥石流等恶劣天气预警信息，引导游客科学出行、安全出游。 　　四是开展市场专项检查。交通运输部门对旅游车辆运营资质、与旅游车公司签订的合同或趟次合同进行检查，旅游执法部门对导游、讲解员执业行为进行检查，对非法从事导游活动、私自承揽导游业务，进一步构建自律、诚信旅游经营市场；对旅游景区（点）、宾馆、饭店的餐饮食宿卫生、价格、服务质量实施监督，加强宾馆、饭店娱乐场所经营的监督检查，严厉打击各种敲诈行为。 　　五是提升旅游整体形象。按照“清洁化、秩序化、优美化、制度化”要求，加大宣传力度，教育引导全社会自觉维护小金旅游形象。全面开展环境卫生大整治行动，着力保持“两线一部”环境卫生，塑造整洁、优美旅游微形象。,否,,2017-09-27 09:07,转发,评论,赞,360安全浏览器,https://weibo.com/1269061822/FnIhktoaF
2,小金全力推动新津县12个援藏项目建设 　小金县全面启动产业、民生、智力等12个援藏项目，到位资金1295万元。截至目前，贫困村35-64岁的530名已婚妇女得到免费两癌筛查；达维镇冒水村高山玫瑰种植加工基地、沙龙乡燕栖村钢架桥等项目顺利完工；牦牛规模化养殖基地项目即将完工；220万元产业扶持基金和100万元困难帮扶基金项目开始试运行；投资1485万元的小金县乡村旅游户外运动综合体示范项目，年内计划完成投资420万元。（小金县政府办公室）,否,,2017-09-26 09:09,转发,评论,赞,360安全浏览器,https://weibo.com/1269061822/FnyRj93bR
3,小金县注重“内外兼修”，督促“好习惯”养成 　　一是大力推进除陋习活动。以创建“四好村”为抓手，全面开展“孝善和俭”“推动移风易俗·树立文明乡风”等主题活动，切实改善人居环境，引导群众养成良好的生活习惯。制发《2017年创建“四好村”活动工作方案》，3个省级、25个州级、30个县级“四好村”创建工作有序推进。 　　二是大力开展农村精神文明建设活动。开展送卫生下乡活动，义诊1万余人次、发放宣传资料3万余份；开展送科技下乡活动，举办科技培训和科普宣传6场次，完成农牧民实用技术培训人数达3000余人次，发放促使广大群众养成健康、文明的生产、生活方式的科普光盘500余张；开展送文化下乡活动，文化馆、图书馆及乡镇文化站、村级文化活动室均实行免费开放，接待人数达10万余人。不断丰富群众文化生活，营造社会良好风气。 　　三是着力开展环境综合治理。切实加大城乡规划执法检查和质量安全大检查力度，完善公共环境卫生基础设施，着力解决城乡环境存在的突出问题，引导群众自觉遵守规则，共同守护清净家园。,否,,2017-09-22 09:30,转发,评论,赞,360安全浏览器,https://weibo.com/1269061822/FmXhUvnZc
4,小金县加强产业对接合作  助农增收新津县积极发挥县内国际国内名优企业聚集优势和台创园优势，大力推介小金。3月，在新津县花舞人间和成都宽窄巷子联合举办了以“走进户外天堂，品味纯净小金”为主题的小金县旅游推介会，318途上旅游、伍田食品2个新津本地项目与小金签约，协议投资1.7亿元。先后两次邀请台湾农技、民宿专家赴小金县开展农旅产业融合提升指导培训，培训当地农牧产业带头人430人，培训旅游业主以及农特产品企业、相关部门技术人员共计1200人次；组织四姑娘山镇、达维镇部分村民旅游业主、村组干部约20人，赴新津、成都参观考察学习现代乡村旅游理念和发展模式，为小金加快发展高原特色农业和全域旅游业奠定坚实基础。,否,,2017-09-21 15:37,转发,评论,赞,360安全浏览器,https://weibo.com/1269061822/FmQgI0oVl
5,小金县召开农特产品产销对接会取得圆满成功为全力以赴推进该县电子商务建设工作落到实处，努力开创全县电子商务发展的新局面。近日，小金县召开“小金出品”品牌发布会暨农特产品产销对接会”。   此次对接会，该县就“小金出品”农特产品情况向到场的全国各大媒体朋友，网商采购商代表作了详细介绍，相关企业就品牌标准和溯源体系的管控作了介绍。目前，该县以发展高原绿色食品为核心，突出发展生态蔬菜、特色水果、酿酒葡萄、高原玫瑰、稻地中药材、牦牛养殖为主的六大农牧特色产业，着力打造“小金出品”特色农产品品牌，通过“小金出品”发布会搭建起小金与四方宾朋交流的桥梁，实现在更多品种、更多产品上的合作，进一步拓展小金农产品的销售空间，使小金农特产品、“小金出品”能够走出小金、走向全省、走向全国，实现共同发展、共同双赢。   据悉，该县积极实施“国家级电子商务进农村综合示范县”，电商+扶贫进展顺利工作，成功打造小金县电子商务产业园，引进成都易网电子商务有限公司、四川软通动力信息科技有限公司并培育了10余家本土电商企业入驻园区，带动全县电商产业发展。,否,,2017-09-19 17:14,转发,评论,赞,360安全浏览器,https://weibo.com/1269061822/Fmy33ydjf
6,小金县进一步规范兽药使用⑴严禁非法制售重大动物强制免疫疫苗、畜禽养殖企业和个人转手倒卖兽用生物制品、制售假劣兽药黑窝点及无证经营、超范围经营行为。动物监督所对经营、使用人药和过期、变质、农业部通报的假劣兽药进行查处，做到严格执法。⑵禁止滥用抗菌药物、原料药直接添加到饲料及动物饮用水中或者直接饲喂动物的行为和经营及使用禁用兽药、废止目录兽药、有毒有害化合物的行为。并对市场中产品组方滥加抗菌药物、中兽药添加化学药物、非法企业及合法企业套用或伪造文号、违规标签和说明书等假劣兽药查处。⑶加大对兽药经营企业无购销记录或记录不真实、不完整的行为和畜禽养殖企业无兽药使用记录或记录不真实、不执行休药期的行为进行规范与整治。⑷组织开展兽药经营清理和规范行动，将兽药GSP后续监管工作推向深入，将实施兽药GSP后续监管作为专项整治的重点，强化经营环节全面深入执行兽药GSP，坚决清理整顿非兽药GSP单位违规经营行为，进一步提高全县兽药经营企业管理水平。,否,,2017-09-18 08:53,转发,评论,赞,360安全浏览器,https://weibo.com/1269061822/FmllcopVK
7,小金出品，品牌发布会 ​​​​,否,,2017-09-11 09:45,转发,评论,2,华为P9手机摄影再突破,https://weibo.com/1269061822/FlhGAkHID
8,小金县创新创业工作落在实处⑴四川立业电子有限公司申报的“用于化成箔生产的高压复式变压器供电装置”、小金县四姑娘山天然沙棘食品有限公司申报的“低能量沙棘食品工艺研究与产业化开发”分获全州科学技术进步一、二等奖。⑵支持重点企业创建国家级、省级工程技术研究中心、企业技术中心，国家级、省级重点实验室，创国家级的一次性最高奖励50万元，创省级的一次性最高奖励30万元；设立返乡创业担保贷款专户200万元，统筹创新创业资金34.88万元，银会合作贷款资金145万元。⑶依托国家级电子商务进农村综合示范县项目，建设四个中心（即：电子商务孵化中心、仓储物流配送中心、中国野生菌交易中心和农特产品集散中心）。⑷组织参加四川青年创业促进计划（SYE）资金申报工作，筛选青年SYE项目6个，帮扶5名有创业意愿的高校毕业生成功创业；成功举办小金县首届“农信杯”青年（大学生）创新创业大赛，评出创新奖1名，创业组一等奖1名、二等奖1名、三等奖1名，优秀奖2名；建立青年“创业联盟”，传递成功经验，总结经验教训，谋求资源整合和共同发展。,否,,2017-09-08 09:04,转发,评论,赞,360安全浏览器,https://weibo.com/1269061822/FkP8yty8O
9,【扩散】《金秋九月，仙果飘香，中国小金第二届苹果采摘节等你来！》金秋九月，仙果飘香！由中共小金县委、小金县人民政府主办的以「亲近纯净小金  相约丰收果园」为主题的小金县第二届苹果采摘节开幕式将于9月10日在该县沃日镇吉祥广场举行，期待您的光临！ ​​​​,否,,2017-09-07 11:17,转发,评论,2,华为P9手机摄影再突破,https://weibo.com/1269061822/FkGAc5WC9
10,小金县多部门联动推进农村改革工作一是大力推进农村集体产权制度改革。以集体经营性资产改革为重点，加快农村产权流转交易市场建设，在完成21个乡镇120个村15747户农村土地确权登记的基础上，引导土地经营权向现代农业示范园、新型经营主体集中，推进适度规模经营和农业产业化发展。二是大力发展村级集体经济。对全县134个村的“三资”进行清理，建立“三资”管理台账，详细掌握“三资”的存量、种类、分布和管理使用情况。根据村情实际，条件成熟村确保“一村一产业”，无条件的村探索跨村、跨乡兴办实体产业的新路径，发展壮大集体经济。三是大力发展农村股份合作。积极培育新型农业经营主体，大力推进农业适度规模经营，引导农户依法自愿有偿流转土地经营权，以土地和农业设施、机械、扶贫到户资金及项目等资产作价入股，按股分享经营收益，提高贫困农户财产性收入。,否,,2017-09-05 08:53,转发,评论,赞,360安全浏览器,https://weibo.com/1269061822/FkmMr0q5G
11,小金县构建小金农产品品牌体系小金县通过支持老品牌做大做强做优，不断提高品牌价值、焕发新的活力，重点打造“小金苹果”“小金酿酒葡萄”“小金松茸”“小金沙棘”等特色农产品品牌。加快培育打造一批市场前景好、竞争力强的新品牌，积极开展“小金黄玉米”“小金土豆”“窝底红花椒”“金山玫瑰”等具有小金特色农产品“三品一标”认证。建立品牌创建激励机制，设立农产品品牌创建基金200万元，助推企业积极开展农产品品牌创建。力争2020年，新增“净土阿坝”品牌2个，认证绿色有机食品达到5个以上，地理标志农产品达到5个以上，认证基地面积达到10000亩，新增农产品中国驰名商标1件以上、四川省著名商标1件以上，让“净土阿坝”小金品牌享誉国内外。,否,,2017-09-05 08:50,转发,评论,赞,360安全浏览器,https://weibo.com/1269061822/FkmLjy0Jx
12,小金县“重拳出击”拆除违章建筑近年来，小金县城市建设力度不断加大，城市扩展初具规模，居民生活幸福指数逐年攀升。但一些违章建筑影响城乡规划，严重制约经济发展。8月28日，美兴镇人民政府联合城关派出所、县住建局相关部门，出动干部、公安、城管队员15余人开展重拳拆违行动，对下达拆除通知书拒不执行的违章建筑统一拆除。据了解，工作组对美兴镇新街村板厂沟正在建设的违章建筑进行了强制拆除，拆除违章建筑面积达400余平方米。下一步该县将继续加大力度巡查、排查，发现一处坚决拆除一处，坚决遏制私自搭建、乱建等违法行为，确保2017年违法建设零增长。,否,,2017-08-30 11:11,转发,1,赞,360安全浏览器,https://weibo.com/1269061822/Fjt7t8VaU
13,【求扩散】小金群众注意了！考上大学愁学费？贫困家庭大学生可申请助学贷款啦！从县教育局学生资助管理中心了解到贷款面向具有小金户籍、家庭经济困难的高校学生，不需要担保和抵押，主要用于解决学费和住宿费，学生在校期间由财政无偿贴息。 ​​​ ​​​​,否,,2017-08-29 14:09,1,1,1,华为P9手机摄影再突破,https://weibo.com/1269061822/FjkRsDBgb
14,【小金环保】县长姚奇杰强调：要打好“四大战役”O网页链接 ​​​​,否,,2017-08-29 11:05,转发,评论,赞,华为P9手机摄影再突破,https://weibo.com/1269061822/FjjERAXc4
15,【小金脱贫路上】为贫困学子撑起一片蓝天！O【小金脱贫路上】为贫困学子撑起一片蓝天！ ​​​​,否,,2017-08-29 11:04,转发,评论,赞,华为P9手机摄影再突破,https://weibo.com/1269061822/FjjEr3bDp
16,小金县夯实社会消防安全基础一是落实消防规划和基础建设。制定并严格落实消防安全“网格化”管理标准，县域内80%的街道、乡（镇）实现规范化管理。50%的商业区、旅游区、开发区等重点单位集中区域按照“位置相邻”或“行业相近”的原则，建立消防安全联防协作组织，实施区域联防制度和通讯联络、应急响应机制，组织开展互查互检、会议会商、业务交流、培训演练等活动，定期开展应急调度、相互支援等方面演练。二是全面推进消防安全社区创建。全面推进消防安全社区创建工作，打造社区示范点，通过试点示范、典型引路的方法，推动全县安全社区达到消防安全标准。同时开展“消防宣传教育示范社区”建设、“社区消防宣传大使”评选命名活动，社区聘有“社区消防宣传大使”。,否,,2017-08-28 09:17,转发,评论,1,360安全浏览器,https://weibo.com/1269061822/Fj9wf9JCy
17,"小金县实施化肥零增长行动为进一步深化土地污染防控工作，小金县做好粮食作物测土配方施肥的同时，扩大测土配方施肥在设施农业及蔬菜、果树、园艺作物上的应用。集成推广水肥一体化、氮肥深施、磷肥集中施用、适期施肥、机械化施肥等高效施肥技术，不断提高肥料利用率。加强新型肥料产品和技术研发，示范推广缓释肥料、水溶性肥料、生物肥料、土壤调理剂等高效新型肥料。鼓励引导农民增施有机肥，推广秸秆还田、沼渣沼液还田、绿肥种植技术，推进耕地质量提升，提高有机肥资源利用，减少化肥施用量。初步建立科学施肥管理体系和技术体系，科学施肥水平明显提升,主要农作物肥料利用率达到30%以上。",否,,2017-08-25 15:13,转发,评论,赞,360安全浏览器,https://weibo.com/1269061822/FiJzvfGoV
18,小金县神沟九寨葡萄酒成为成为全球高山葡萄酒研发基地        小金县葡萄园分布在海拔2200—2880米之间，从天、地、山、水、人、文上都与其他葡萄酒产区具有明显的区别，使优质葡萄生态区小金造就的神沟九寨红成为世界高山葡萄酒的典范。8月20月，全球中小企业联盟向小金县九寨沟天然葡萄酒业有限责任公司授予“全球中小企业联盟高山葡萄酒研发基地”，也是全球中小企业联盟中国的独家葡萄酒授牌企业，这标志着神沟九寨红将从这里走向世界。       据悉，全球中小企业联盟是联合国颁发的联合国工业发展组织咨询机构，是由美中国际合作交流促进会，于2009年联合G20国家100余个主流商会发起成立的全球商会合作组织，旨在把全球100万家商协会连接在一起，打造全球商协会的互联互通大平台。,否,,2017-08-24 08:51,转发,评论,2,360安全浏览器,https://weibo.com/1269061822/FixDV4dMm
19,小金县围绕品质创品牌，构建特色产业体系　　 　　 　　小金县积极实施“区域品牌+企业品牌”双品牌战略，集中打造“小金出品”农产品集体品牌。 　　⑴深化区域品牌建设。根据小金历史文化和资源优势，做好区域品牌发展规划，选择具有较好品牌基础、较强产业实力的产品，继续推进“净土阿坝”、“小金出品”等特色农牧产品区域品牌打造。支持农牧产品包装、标识、字体、广告用语“四统一”，增强区域品牌影响力和竞争力。全县共注册涉农商标50个，“神沟九寨红”成为阿坝州首个“中国驰名商标”。 　　⑵加强地标产品建设。开展无公害农产品、绿色食品、有机农牧产品认证，塑造品牌标志、提升品牌形象、增强品牌竞争力，打造一批如“小金苹果”、“酿酒葡萄”等国家地理标志证明商标产品品牌。全县认证绿色有机食品4个、省级无公害农产基地3万亩，完成测土配方施肥4.5万亩。 　　⑶强化品牌营销推广。建立和完善农产品评价体系、质量追溯体系，借助中国农产品交易会、四川名优农产品国（境）外精品展、川台农业合作论坛、西博会、农博会等大型展会平台，开展推介、洽谈、产销对接等活动，积极宣传推介小金特色农产品品牌，扩大知名度和美誉度，增强品牌竞争力和市场占有率。,否,,2017-08-23 16:32,转发,评论,赞,360安全浏览器,https://weibo.com/1269061822/Firevu6xS
20,小金县大力实施农药减量控害行动⑴加快构建病虫害监测预警体系，建立健全监测预警数字化平台，提高病虫害预报准确率和到位率。抓好绿色防控示范区建设，加强与专业化统防统治有机融合，推广绿色防控技术。⑵推广新型高效植保机械，培育植保社会化服务组织，推进病虫专业化统防统治，提高农药利用率。加强高效、低毒低残留农药的筛选和登记，开展低毒低残留生物农药补助试点，逐步替代高毒农药。⑶结合农业“十三五”规划，初步建成资源节约型、环境友好型病虫害可持续治理技术体系，广大农民科学用药水平显著提高，单位防治面积农药使用量控制在近3年平均水平以下，尤其是在蔬菜经作物上，力争实现农药使用负增长。,否,,2017-08-21 15:23,转发,评论,赞,360安全浏览器,https://weibo.com/1269061822/Fi7VpAnG0
21,小金县多措并举促交通水利跨越发展一是加强规划协调。在重大政策研究和规划制定及实施过程中，继续做好沟通协调，及时通报情况和征求意见，根据各自发展需求协调好水利建设与交通建设的关系，统筹兼顾、合力推进。二是全面推进乡村道路工程建设。理小路理县段开工建设，卓小路完成所有前期工作，力争年内完成投资1.8亿元；投资1.45亿元，加快3条110公里县乡道路建设，汗牛路水毁段基本完工，汗牛路完成招投标，美汗路正开展施工图审批；44个脱贫村村道建设全部开工，投资2700万元，确保年内完工。三是四姑娘山客运站及22个交通扶贫项目正在全力推进。抚美达日、小金川干流堤防、专项水利扶贫维修养护等项目加快推进，抚美达日渠系配套完成所有前期工作，将恢复、改善灌溉1.48万亩，新增有效灌面5.6万亩。,否,,2017-08-17 09:59,转发,评论,赞,360安全浏览器,https://weibo.com/1269061822/Fhu64o9x5
22,小金县持续发力，不断优化生态环境上半年，小金县全力推进县域生态质量考核环境监测和集中式生活饮用水水源地水质监测等工作，完成5个县级饮用水源地和11个乡镇集中式饮用水源地划分调整，建成环境空气自动监测站1个，城区集中式饮用水源地水质达标率100%，城区环境空气质量优良以上天数达100%，河流出境断面水质达标率100%。林业有害生物防治面积21.6万亩，管护国有林134万亩，新增造林775亩，义务植树32.1万株，全面落实森林防火责任，森林覆盖达到37.8%。节能减排有力开展，实施蓝天、碧水、净土、宁静“四大工程”，整改完成省督察组反馈问题8个，立案查处环境违法企业1家。成功申报梦笔山省级森林公园，夹金山国家森林公园禁止开发区补助项目、森林资源二类调查有序推进，实施3处地质灾害治理，治理水土流失面积20.56平方公里。,否,,2017-08-15 15:06,转发,评论,1,360安全浏览器,https://weibo.com/1269061822/Fhdfrj4fn
23,"【小金县气象局】预计：小金县境内,今天晚上到明天白天阴有小雨，部分乡镇有中到大雨；气温14℃至24℃；西南风2级；地质灾害气象等级2级。9日晚上到10日白天阴有小雨。 ​​​​",否,,2017-08-08 17:09,转发,1,赞,华为P9手机摄影再突破,https://weibo.com/1269061822/Fga3OsCsu
