序号,微博内容,是否原创,转发内容,发布时间,转发数,评论数,点赞数,设备源,微博ID
0,大家注意喽，预测明天的拥堵点。,是,#出行提示#预计明日主要拥堵点段将出现在8时至12时各主要高速公路的出京方向，具体路段小编在图中标出来喽，出行的通心粉们关注哦。预计机场高速的拥堵点段与平日类似，8时至9时和14时至18时进京方向苇沟至五元桥路段会出现拥堵，8时至12时出京方向五元桥至苇沟路段、机场高速与城区路网交汇出口处拥堵 ​​​​,2012-09-30 22:39,45,27,赞,政府版微博,https://weibo.com/1288915263/yEjHQcspb
1,#平安生活秀#开心过长假 ​​​​,否,,2012-09-30 18:58,9,27,赞,微博 weibo.com,https://weibo.com/1288915263/yEigdrv2m
2,新手上路请注意#微博接力-假期旅游安全微提示#【,是,#微博接力-假期旅游安全微提示#【国庆“新手上路”最易犯4种低级错误 】因全国高速公路实行7座（含）以下车辆免费通行，不少车友跃跃欲试，其中不乏刚领到驾照打算利用免费机会到高速路练练手的新手。为此，警察薯黍发布《国庆“新手上路”最易犯4种低级错误》，提示新手安全出行。@平安中原  ​​​​,2012-09-30 15:01,35,9,赞,微博搜索,https://weibo.com/1288915263/yEgHQAYao
3,出游莫忘三大安全,是,#微博接力-假期旅游安全微提示#【出游莫忘三大安全】1、自驾游务必重视交通安全。出行前要注意查看天气和路况信息，做好车辆检查；2、旅游不能一味图便宜。小心自由行、团购游暗藏猫腻，旅游产品不可能有太大折扣，游客稍不留神就可能落入陷阱；3、是购买旅游险保安全，人身意外伤害险、旅游救助险等。 ​​​​,2012-09-30 14:55,14,6,赞,微博搜索,https://weibo.com/1288915263/yEgFCAo85
4,最美警察故事-北京市公安局房山分局民警刘春 ​​​​,否,,2012-09-30 14:54,35,22,赞,微博 weibo.com,https://weibo.com/1288915263/yEgF9lPzH
5,最美警察故事-北京市公安局通州分局民警于文静 ​​​​,否,,2012-09-30 14:52,89,48,赞,微博 weibo.com,https://weibo.com/1288915263/yEgE9hUqN
6,长假出行哪里去，海滨之城是厦门[月儿圆],是,#微博接力-假期旅游安全微提示#【交通篇】初来厦门，路不熟肿么办？参考一下警察蜀黍制作的厦门旅游交通攻略，轮渡时刻表、的士投诉电话等海、陆、“空”（BRT）都齐了...欢迎围观，最关键的一点：有困难找警察，110 ​​​​,2012-09-30 14:47,18,6,赞,微话题-微博接力-...,https://weibo.com/1288915263/yEgCiEZWv
7,长假出行哪里去，南京可以多走走,是,#微博接力-假期旅游安全微提示#【【中山陵】景区门票多种，按需要购买。游玩最佳路线：林荫大道—行健亭—牌坊—陵门—碑亭—祭堂—永慕庐—议政亭—孙中山纪念馆—仰止亭—流徽榭—音乐台 。尽量多带点水和食物，穿平底鞋，早些去，避免人朝高峰，注意家人安全，带好随身财物防止第三只手。 ​​​​,2012-09-30 14:41,21,7,赞,微博搜索,https://weibo.com/1288915263/yEgzKyBFI
8,长假出行哪里去，南京江宁看汤山[放假啦],是,#微博接力-假期旅游安全微提示#欢迎您到南京来，欢迎您到江宁来！十二家公安微博长假接力发布本地旅游交通安全内容，今天就让警察蜀黍来给大家推荐一下我们南京市江宁区的汤山吧！精心制作，诚意奉献！壮哉，我大江宁！ ​​​​,2012-09-30 14:39,8,评论,赞,微博搜索,https://weibo.com/1288915263/yEgz1lZGN
9,#微提示#出行的朋友们注意啦,是,#出行提示#机场高速（S12），出京方向三元桥至四元桥路段1.5KM处两车剐蹭事故，事故车辆已经移到应急车道，造成该路段拥堵。请过往车辆注意安全驾驶。 ​​​​,2012-09-30 11:55,11,4,赞,政府版微博,https://weibo.com/1288915263/yEfuAesJA
10,全国高速路报警电话公布 24小时可拨打祝大家出行平安！,是,【全国高速路报警电话公布 24小时可拨打】公安部今日集中对外界公布了各省、自治区、直辖市高速公路报警服务电话。高速公路报警服务电话由专人24小时值守，接听驾驶人报警求助，并协调有关部门提供相应的救助服务。长假期间要外出的网友可以收藏，或者转给你身边需要的人哦！ ​​​​,2012-09-30 11:02,86,19,赞,微博 weibo.com,https://weibo.com/1288915263/yEf91nSGC
11,#开心逛公园##香山公园景区#来游玩的老人孩子多是香山公园的一大特点，孩子跑的快、老人走的慢，人多的时候，每天会接到找人的报警。建议家长要拉紧孩子的手，有老人的要搀扶着一起走，多休息保证老人体力。另外在休息过后，要查看是否遗落东西，要将垃圾投入垃圾箱内，让我们共同营造美好生活。 ​​​​,否,,2012-09-30 10:57,14,7,赞,政府版微博,https://weibo.com/1288915263/yEf6Ud8VG
12,#开心逛公园##香山公园景区#香山是登山爱好者的胜地，大部分游客还没来或者已经回家时都是登山爱好者最多的时候，有经验丰富的，也有新手，还有偶尔尝试的人。我想提示大家，您要注意自己的身体，保障手机电量充足，切莫逞强；爬山前记下求助电话以备万一；要沿大道行走，不要自己探路，以防迷路。 ​​​​,否,,2012-09-30 10:57,6,1,赞,政府版微博,https://weibo.com/1288915263/yEf6IFnZA
13,#开心逛公园##香山公园景区#我是来自海淀分局香山派出所的民警。香山的红叶每年都会吸引一大批游客，今年十一和中秋两节又赶在了一起，估计游客能破记录，为了大家能更好的游园，我这就给大家介绍介绍咱们香山公园的特点。 ​​​​,否,,2012-09-30 10:56,8,8,赞,政府版微博,https://weibo.com/1288915263/yEf6wzk1Y
14,#开心逛公园##颐和园景区#“十一”期间为给广大游客一个更好的游园环境，派出所还配合市园林部门，开展“打非治野”百日整治专项行动，打击公园内倒票、游商、野导、野泳、野钓等行为。整治过程中，民警依据违法人员登记台帐情况，依法处理扰序人员。在此，也希望广大游客在这里度过一个愉快的假期！ ​​​​,否,,2012-09-30 10:10,18,14,赞,政府版微博,https://weibo.com/1288915263/yEeNNjboZ
15,#开心逛公园##颐和园景区#景区每天6:30开始售票，散客和旅游团络绎不绝，基本人手一部相机。在此提示广大游客朋友，虽然我们已在景区内加大了巡逻警力，但贵重物品您还是要注意保管好，尤其要防止遗落。另外，警务站外面已张贴了我们的紧急情况联系电话，您可在游园之前记录下来，如需帮助及时拨打。 ​​​​,否,,2012-09-30 10:08,8,5,赞,政府版微博,https://weibo.com/1288915263/yEeMXim8o
16,#开心逛公园##颐和园景区#大家好！我是颐和园派出所民警徐宝忠。“十一”期间我将在这里陪伴大家！颐和园有很多文化古迹，如殿堂区、长廊区都是游客集中区域，东宫门、北宫门、新建宫门是旅游团主要进出的大门，这“三门两区”客流较大，提示大家在经过此区域时，一定要看管好自己的财物，以防丢失。 ​​​​,否,,2012-09-30 10:03,18,27,赞,政府版微博,https://weibo.com/1288915263/yEeKZxM3X
17,#微博接力-假期旅游安全微提示# 颐和园位于北京城西北方向，许多朋友来京也一定会去游览：登万寿山，游昆明湖，逛苏州街~市内有多路公交车直达颐和园，大家可以拨打96166公交热线咨询，另外也可以乘坐地铁4号线，从西苑站可到公园东门，从北宫门站可到公园北门。 ​​​​,否,,2012-09-30 10:00,21,10,赞,政府版微博,https://weibo.com/1288915263/yEeJNEPa1
18,#平安生活秀#系列提示单之离家安全检查提示单：国庆长假出远门，要记得看看以下事项是否都已经检查安排好哦~ ​​​​,否,,2012-09-30 09:28,93,23,1,政府版微博,https://weibo.com/1288915263/yEewDdW2i
19,#平安生活秀#系列漫画之中秋哪过节：两口子到哪过节总是一个永恒的难题，其实多一份理解体谅，多一份关怀爱惜，这难题就迎刃而解了。 ​​​​,否,,2012-09-30 09:26,41,16,赞,政府版微博,https://weibo.com/1288915263/yEew1FONW
