序号,微博内容,是否原创,转发内容,发布时间,转发数,评论数,点赞数,设备源,微博ID
0,转发微博,是,今天中秋佳节，给您提个醒儿：品尝美味月饼时每天不要超过一个，而且不要同时吃油腻的肉类食物，以免更加难以消化。吃过月饼最好多喝汤、水来辅助消化。老人们最好和家人一起分着吃，浅尝即止。祝您全家和美，幸福团圆！ ​​​​,2012-09-29 10:23,转发,评论,赞,微博 weibo.com,https://weibo.com/2646413841/yE5sw035E
1,转发微博,是,做人嘛，最重要的就是开心，假期嘛，最重要的就是安全。中秋、国庆假期马上就到了，想起@平安武侯 @江宁公安在线 联合出品的#降狼十巴掌#，实为“假期必备、防身宝典”，各位童鞋一起来学习吧！[呵呵] ​​​​,2012-09-28 10:34,转发,评论,赞,专业版微博,https://weibo.com/2646413841/yDW6u19w8
2,转发微博,是,旅游#微提示#有些人在旅程中会出现失眠现象。有的是初到新地入睡环境改变、噪音影响、光感和气味变化导致入睡困难；有的则是过度兴奋、疲劳或由慢性病引发的不适影响睡眠。要克服旅游失眠，应尽可能保持平时的吃饭、睡眠时间表，避免生物钟混乱，睡前适量喝些热牛奶。如可能，可带上自己习惯的抱枕等。 ​​​​,2012-09-28 10:30,转发,评论,赞,专业版微博,https://weibo.com/2646413841/yDW4QmIgO
3,转发微博,是,旅游#微提示#防治晕车晕船，要保证睡眠充足，饮食宜清淡，不要过饥或过饱，不要喝酒。晕车晕船时，患者最好平卧休息。如无条件平卧，可将头靠在椅背上，闭目休息，最好能换坐在近窗的位置上，空气清新有利于缓解、减轻症状；同时，可用清凉油或风油精等涂擦头额部位，或在肚脐上直接贴上伤湿止痛膏。 ​​​​,2012-09-28 10:30,转发,评论,赞,专业版微博,https://weibo.com/2646413841/yDW4L3Hzx
4,转发微博,是,旅游#微提示#旅游如到海拔较高的地方旅游，由于气压降低、空气稀薄，有些朋友会出现高山反应。征状为呕吐、耳鸣、头痛、发烧等。为预防高山反应，在海拔高的地方不宜动作太迅速，最好步调平稳并配合呼吸，且避免急促的呼吸。编排行程不宜太紧迫，睡眠、饮食要充足正常，经常性地作短时间的休息。 ​​​​,2012-09-28 10:29,转发,评论,赞,专业版微博,https://weibo.com/2646413841/yDW4FqEl0
5,为迎接党的十八大胜利召开，加强未成年人爱国主义教育，我社区居委会特组织开展“向国旗敬礼、做有道德的人”网上签名寄语活动。请广大青少年积极参与，将对祖国的热爱之情写成精彩寄语发送给我们。 ​​​​,否,,2012-09-28 10:29,转发,评论,赞,专业版微博,https://weibo.com/2646413841/yDW4zeoBY
6,//@政府微博助理:最新出版的《中华人民共和国钓鱼岛及其附属岛屿》专题地图。,是,最新出版的《中华人民共和国钓鱼岛及其附属岛屿》专题地图。此地图出版是中国政府加强对钓鱼岛及其附属岛屿管辖的又一具体措施。网络首发，先睹为快。 ​​​​,2012-09-21 11:25,转发,评论,赞,政府版微博,https://weibo.com/2646413841/yCSrAi7Ad
7,//@政府微博助理:【新老司机必读！解读常见的交通信号标识】快来看看日常常见的交通标识都代表什么意思？,是,#微警示#【新老司机必读！解读常见的交通信号标识】越是简单越是每天都会遇到的事儿似乎大家越容易忽视，今天咱们再次聊聊日常常见的交通标识都代表什么意思。欢迎亲们转发扩散，评论补充。@平安中原 @广州交警 @深圳交警 @辽宁交通 @IN交通 @湖北交警 @青岛交警 @平安肇庆 @上海普陀 @乐行南昌 ​​​​,2012-09-21 11:23,1,评论,赞,政府版微博,https://weibo.com/2646413841/yCSra0fRD
8,//@政府微博助理:正能量如同一把火炬，让我们一起传递！//@平安郑州: 我们更要感谢发现伤者并伸出援助之手的过路司机席先生，路遇危难，如果每个人都能献出一份力量，这个世界一定会更加美好！正能量如同一把火炬，让我们一起传递！,是,【两位好警察，你们在哪里？】9月17日上午，郑州市民席先生开车途经花园口立交桥，看见一名中年妇女扶着一名手上滴血的女子在等车，就送她们去医院，在107辅道迷路了。路口两名交警立即警车开道，护送席先生到河南省人民医院急诊科后，悄然离去。O网页链接 @平安中原 @平安郑州 @郑州交巡警 ​​​​,2012-09-21 11:22,转发,评论,赞,政府版微博,https://weibo.com/2646413841/yCSqzlxhZ
9,//@政府微博助理:针对近期12306网上购票难的情况，铁路部门表示歉意。,是,【针对近期12306网上购票难的情况 铁路部门表示歉意】近日正处在中秋和“十一”黄金周售票的高峰期，12306网站日点击量达到14.9亿次，在网上发售客票超过今年春运最高值，导致出现网络拥堵、重复排队等现象。对此，铁路部门表示歉意。 ​​​​,2012-09-21 11:22,转发,评论,赞,政府版微博,https://weibo.com/2646413841/yCSqmD0kj
10,转发微博,是,【19日06时北京天气预报】今天白天晴转多云，北转南风二三级，最高气温28℃。今天夜间多云转晴，南转北风一二级，最低气温15℃。紫外线照射强，注意防晒补水。 ​​​​,2012-09-19 10:18,转发,评论,赞,微博 weibo.com,https://weibo.com/2646413841/yCz9vi69d
11,转发微博,是,【爱国就应做理性守法的公民】日本政府侵犯中国主权，中国民众表达自己的爱国热情，实在是非常正常的事情。前几日，部分民众自发来到日本驻华大使馆门前，谴责日本“购岛”的非法行径，整个过程中秩序井然。民众在表达爱国热情时理性而守法，值得称赞的，这样才能向外界展示一个国家强大的内在力量。 ​​​​,2012-09-18 09:40,1,评论,赞,微博 weibo.com,https://weibo.com/2646413841/yCptLrSoQ
12,转发微博,是,市气象台11时发布下午预报：晴转多云，最高气温27℃；下班多云，26到24℃。紫外线强护眼防晒不可少。夜间多云转阴西南有阵雨。 ​​​​,2012-09-05 14:06,转发,评论,赞,微博 weibo.com,https://weibo.com/2646413841/yAsFf1FOc
13,（三）婚后五年以上不育，经指定医疗机构诊断证明为不孕症，依法收养一个子女后又怀孕的；（四）再婚夫妻双方只有一个子女的。符合以上条件有意愿生育二胎的，必须先办理二孩生育服务证后再怀孕。如果你有愿望生育二胎，对计生政策又不太了解，请到居委会咨询或拨打82750059，居委会有专业人员为您解答 ​​​​,否,,2012-08-24 15:31,转发,评论,赞,微博 weibo.com,https://weibo.com/2646413841/yyE5TioIm
14,致小区居民的一封信（二） 符合以下条件的可以生育二胎：（一）夫妻双方均为独生子女，并且只有一个子女的；（二）只有一个子女，经指定医疗机构诊断证明为非遗传性病残，不能成长为正常劳动力的； ​​​​,否,,2012-08-24 15:30,转发,评论,赞,微博 weibo.com,https://weibo.com/2646413841/yyE5p9XKG
15,致小区居民的一封信（一） 居民朋友们：大家好！ 计划生育是我国的一项基本国策，国家提倡一对夫妻只生一个孩子，少生优生。近段时间，网络及一些媒体上说计划生育政策放宽了，生孩子不受限制等谣言，致使一些居民不了解国家的政策，盲目的生育二孩，给国家和家庭带来沉重的负担。 ​​​​,否,,2012-08-24 15:28,转发,评论,赞,微博 weibo.com,https://weibo.com/2646413841/yyE4v1gAw
16,今晨，光纤改造在我社区开始施工。经过居委会此前与小区物业的沟通和在居民中的宣传，小区的光纤改造进行的非常顺利。清河电话局承接西三旗地区的光改提速工程。居委会了解到，在升级改造完成后，原有2M及以下的宽带用户可在不增加资费的前提下统一提速至10M，原有4M及以上的宽带用户可统一提速至20M。 ​​​​,否,,2012-08-22 16:14,1,评论,赞,微博 weibo.com,https://weibo.com/2646413841/yylw9gont
17,转发微博,是,#过往寻踪# 为了满足广大人民群众日益增长的体育运动需求，纪念北京奥运会成功举办，经国务院批准，从2009年起，每年8月8日为“全民健身日”。今年的主题口号是“每天锻炼一小时，健康生活一辈子”。今儿您运动[bed踏步]了吗？ ​​​​,2012-08-08 14:13,转发,评论,赞,微博 weibo.com,https://weibo.com/2646413841/ywcK9CtLN
18,转发微博,是,#温馨提示# 【立秋后小心“秋老虎”】今年立秋的时间是上午11点26分，属于“早立秋”。俗话说：“早立秋冷飕飕，晚立秋热死牛”。但是伏天还没过去，大家要小心“秋老虎”发威，专家提醒各位要保证充足的休息，保持心情舒畅，多喝水，多吃瓜果蔬菜，注意清热消暑~[cai飞吻]O网页链接 ​​​​,2012-08-08 14:10,转发,评论,赞,微博 weibo.com,https://weibo.com/2646413841/ywcIY3SWN
19,市委组织部、市委宣传部和北京广播电视台选取12位优秀共产党员为拍摄对象，联合制作了电视系列片《为你而歌》（第十部。将于8月6日至8月17日在北京电视台卫视频道每晚18:10播出（科教频道8月13日至8月24日每晚18:49重播）。请组织广大党员、入党积极分子及时收看。 ​​​​,否,,2012-08-08 14:08,转发,评论,赞,微博 weibo.com,https://weibo.com/2646413841/ywcHVkOfu
20,西三旗地区“青年汇”交友联谊活动通知 一、活动介绍 8月18日青年交友联谊活动， 二、报名条件 1、必须是独身 2、在西三旗地区工作或居住的京籍或非京籍男女青年 三、报名截止时间 8月10日中午11:30分 四、报名地点 永泰园一（16号楼地下一层） 五、报名要求 请携带本人身份证原件，学历证明。 ​​​​,否,,2012-08-07 09:05,转发,1,赞,微博 weibo.com,https://weibo.com/2646413841/yw1iBnl7I
21,转发微博,是,"#一周治安播报#7.30-8.5【诈骗类警情为本周治安防范的重点】本周110报警服务台接报的刑事类警情中诈骗类警情上升较为明显,行骗方式主要以电信诈骗为主,主要形式包括冒充电信公司谎称事主座机欠费、冒充事主熟人让其汇款、冒充银行谎称事主银行卡欠年费,盗取事主QQ号后向好友发送汇款信息等诈骗手段。 ​​​​",2012-08-06 16:49,转发,评论,赞,微博 weibo.com,https://weibo.com/2646413841/yvUUBw3ZI
22,募捐善款通知 为了“7.21”受灾的北京市民请社区广大居民群众、志愿者和热心公益的爱心人士伸出您的援助之手、奉献您的一份爱心，募捐善款。 募捐地址：永泰园第一社区居委会（16号楼地下一层） 募捐截止日期：2012年8月6日中午11点30分 ​​​​,否,,2012-08-02 15:35,转发,评论,赞,微博 weibo.com,https://weibo.com/2646413841/yviIAfKB0
23,转发微博,是,【凉爽多云 暂别雨水】#北京你好# 今日限行5和0，最高气温27℃，今天小雨终于肯休息一下了，也让我们潮湿的心情见见阳光。不过到晚上又会转阴，预计4日前后还会有一次降雨过程。还有6天就立秋了呢，看来这个夏天不会再热到哪去了。今天的原创图片——“空中急停”！提醒司机同学，不要学这样急刹车哦~~ ​​​​,2012-08-02 11:25,转发,评论,赞,微博 weibo.com,https://weibo.com/2646413841/yvh51zCPd
24,转发微博,是,#海淀人物#【于洪英和她的“孩子们”】在@学院路二里庄社区 的温馨家园里，有这样一位老师，她无微不至的关怀着在这里的每一位学员，被她视为“孩子”的残疾人学员……她教“孩子们”如何洗衣服、缝扣子，点点滴滴，将无私的爱播撒在每个人心中，她就是于洪英~O网页链接 ​​​​,2012-08-02 11:25,转发,评论,赞,微博 weibo.com,https://weibo.com/2646413841/yvh4RwOX2
25,根据国家统一的抽选方法，永泰园17号楼2-15层被确定为我市城乡住户调查对象。如果，调查员在入户时您家中没有留人，请您及时与我们联系。对您的理解与支持，我们表示由衷的感谢！  电话：82750059，82750807  地址：永泰园16号楼地下一层社区服务站 ​​​​,否,,2012-08-02 09:31,1,评论,赞,微博 weibo.com,https://weibo.com/2646413841/yvgkKDMFh
26,@“社区青年汇杯”羽毛球挑战赛 通知 一、活动时间 2012年8月11-12日 二、比赛安排 1、在海淀工作、生活的青年。 2、身心健康，年龄在18-40岁（含）之间。 4、全日制在校生不能报名参赛。 （二）报名方式 1、报名时间：截至2012年8月3日 2、报名地点：永泰园第一社区（16号楼地下一层） ​​​​,否,,2012-07-31 10:59,转发,评论,赞,微博 weibo.com,https://weibo.com/2646413841/yuY3mj5tv
27,转发微博,是,【所长李方洪的最后10小时】当天李方洪休息不上班，但因牵挂辖区内逢雨必淹的凤凰亭村村民，中午就赶到村里组织疏散救援，其间63名被困村民获救，全村百余村民无一伤亡。出事前，李方洪始终走在搜救小组最前面。他对大家说：“还是我先来吧。”  O网页链接 ​​​​,2012-07-26 16:42,转发,评论,赞,微博 weibo.com,https://weibo.com/2646413841/yufa8BaJE
28,转发微博,是,【房·潸】经过了“7·21”特大暴雨，房山成为重灾区，许多村镇受到山洪、泥石流的严重侵袭。灾后，村民们回到已经残破的家中，不禁潸然泪下，但无论如何，生活还要继续。终有一天，哭泣的房屋会变得坚固，落泪的人们会变得坚强。 O网页链接 ​​​​,2012-07-26 16:41,转发,评论,赞,微博 weibo.com,https://weibo.com/2646413841/yuf9Ru4Km
29,转发微博,是,好消息，社区65岁以上老人免费体检了。 按照《国家基本公共卫生服务规范》提出的老年人健康管理服务要求，将对我辖区65岁及以上常住老年人进行健康体检（免费），现在是报名阶段，报名截止到7月30日，请符合条件的老人速来居委会登记，体检时间另行通知。 ​​​​,2012-07-26 16:39,转发,评论,赞,微博 weibo.com,https://weibo.com/2646413841/yuf975ow7
30,转发微博,是,#出行提示# 昨夜让北京人忐忑了一晚的大雨与北京擦身而过，小编看到今天天津普降大到暴雨，小编建议您暂缓前往天津的计划。已经在高速上的朋友注意小心驾驶，遇到暴雨时及时开启双闪并行至高速服务区停车避雨。如果不是必须的，就不要去天津方向了。 ​​​​,2012-07-26 16:34,转发,评论,赞,微博 weibo.com,https://weibo.com/2646413841/yuf6OElhs
31,转发微博,是,【遭遇山洪泥石流如何自我保护】７月２０日以来，北方一些地区遭遇暴雨袭击，一些山区发生泥石流、山洪等地质灾害，地质专家提醒公众，山区发生山洪泥石流时，应学会自我保护。 ​​​​,2012-07-26 16:32,转发,评论,赞,微博 weibo.com,https://weibo.com/2646413841/yuf6629bL
32,转发微博,是,市气象台发布蓝色预警信号后，海淀区防汛办立即启动IV级应急响应，抢险队员全部上岗备勤，准备投入防汛抢险工作，做到物资储备到位，人员安排到位，全力防汛保安全。并提醒广大市民注意防雨防灾，减少出行，避开车流集中和易积水路段，不要轻易涉水，避免生命财产损失。 ​​​​,2012-07-25 16:43,转发,评论,赞,微博 weibo.com,https://weibo.com/2646413841/yu5K7iUH8
33,转发微博,是,【请记住，北京遭遇暴雨躲开30处积水区】昨天，北京市排水集团和市防汛办相关人士表示，一旦北京再次遭遇大暴雨或特大暴雨，7·21导致积水的30处桥区，建议市民朋友不要走，同时尽量选择公交出行。图中标注点均为7·21暴雨中积水超过30cm的地点。 O网页链接 ​​​​,2012-07-25 16:42,转发,评论,赞,微博 weibo.com,https://weibo.com/2646413841/yu5JMDyPf
34,为了深入贯彻“十二五”期间文化大发展大繁荣的指导精神永泰园第一社区将举办以践行北京精神即爱国、创新、包容、厚德为题材的书法展活动，请热爱书法的居民朋友，提交一到二副作品，参加展示。 活动安排如下： 截稿时间：2012年7月23日-8月24日 请将作品交到永泰园第一社区服务站（16号楼地下一层） ​​​​,否,,2012-07-23 11:07,转发,评论,赞,微博 weibo.com,https://weibo.com/2646413841/ytKGQ3aNE
35,转发微博,是,奥迪一万七！速腾一万四！还包运到家、包上牌照、见车交钱！面对这样的“馅饼”，郭先生毅然“上钩”，被骗走1.4万元。近日，海淀警方将两名在网络上发布二手车信息，谎称能够以低廉的价格购买名车的诈骗犯罪嫌疑人抓获。您别以为上当受骗的都是“个例”，自5月以来，两人已经成功作案三起！ ​​​​,2012-07-13 16:47,转发,评论,赞,微博 weibo.com,https://weibo.com/2646413841/ysgDxoIpd
36,转发微博,是,"#夏季防范提示#【锁牢门窗防入室盗窃】警方提示,楼房住户晚上休息前,一定要关牢阳台、厨房的窗子。有天井的楼房,卫生间和厨房窗户往往成为犯罪分子入室的通道,可选择安装内置式防护栏加以防范。低楼住户和有可攀登物民宅的窗户及阳台,要安装防盗护栏、护网。平房住户避免使用明挂锁,建议安装防撬锁。 ​​​​",2012-07-10 16:54,转发,评论,赞,微博 weibo.com,https://weibo.com/2646413841/yrOpd3R9n
37,转发微博,是,"#夏季防范提示#【锁牢门窗防入室盗窃】离家外出前切记关好门窗,不要因为怕麻烦让不法分子有机可乘。钥匙要随身携带,不要乱扔乱放,防止外人乘机印模仿制,丢失钥匙要及时更换门锁。存折、信用卡、贵重物品不要与户口簿、身份证、工作证放在一起。家中不要放大量现金和有价证券,一时用不着的钱应存银行。 ​​​​",2012-07-10 16:54,转发,评论,赞,微博 weibo.com,https://weibo.com/2646413841/yrOp7acZA
38,转发微博,是,#夏季防范提示#【行驶中要落锁关窗】炎热夏日，为了通风驾驶员会落下车窗行驶，由于粗心大意极易发生车内物品的丢失。提示您不要将装有贵重财物的包放在副驾驶的位子上。行驶中要将门锁落下，将副驾驶的车玻璃摇上。遇有陌生人敲击车门不要轻易下车，要及时将门锁落下，如需下车查看时要将车门锁好。 ​​​​,2012-07-10 16:53,转发,评论,赞,微博 weibo.com,https://weibo.com/2646413841/yrOoGyka7
39,转发微博,是,"#夏季防范提示#【骑车外出手机背包不离身】骑车外出时,可将手机放置在背包或者衣兜内,避免挂于胸前;夜晚独自一人行走,应绕开偏僻路段或结伴同行;不要边走边打手机、发短信、听MP3,以免成为飞车抢夺的对象;骑车外出办事或购物,尤其是带小孩的女性,最好将手提包挂在车把手上,下车时请拿好手包不要离身。 ​​​​",2012-07-10 16:51,转发,评论,赞,微博 weibo.com,https://weibo.com/2646413841/yrOo1sSyG
40,我公开了“政府微博”分组，欢迎关注或推荐！O网页链接 ​​​​,否,,2012-07-09 16:48,转发,评论,赞,微博 weibo.com,https://weibo.com/2646413841/yrEWfrHlj
41,转发微博,是,#一周治安播报#7.2-7.8突出警情分布【扒窃类警情】发案主要分布在：西城广内、朝阳三里屯、海淀翠微路、丰台大红门商城。案发时间主要集中在上、下班高峰期。【诈骗类警情】发案主要分布在：东城崇文门、西城德胜门外、朝阳劲松、海淀中关村、丰台蒲黄榆、石景山八角。案发时间主要集中在上午和下午。 ​​​​,2012-07-09 16:46,转发,评论,赞,微博 weibo.com,https://weibo.com/2646413841/yrEVlAEuW
42,转发微博,是,#一周治安播报#7.2-7.8突出警情分布【拎包盗窃警情】发案主要分布在：丰台区的新发地。案发时间主要集中在上、下班高峰期。【入室盗窃类警情】发案主要分布在：东城区的永外；西城区广内；朝阳区的王四营；海淀区的田村；丰台区的石榴园；石景山的苹果园。案发时间主要集中在凌晨和深夜。 ​​​​,2012-07-09 16:46,转发,评论,赞,微博 weibo.com,https://weibo.com/2646413841/yrEVampTi
43,转发微博,是,"#一周治安播报#7.2-7.8【本周110报警服务台接报的刑事类警情中扒窃警情表现突出】案发地主要集中在大型批发市场等人员较密集的公共场所,被盗物品多以手机、钱包为主,案发时间主要集中在上下班高峰期。提醒大家到人员密集地区和乘坐公共交通工具时,贵重物品应贴身放置,一旦发现被盗立即拨打110报警。 ​​​​",2012-07-09 16:45,转发,评论,赞,微博 weibo.com,https://weibo.com/2646413841/yrEUXmTho
44,转发微博,是,【政策解答】#劳动关系# 用人单位自用工之日起满一年未与劳动者订立书面劳动合同的，自用工之日起满一个月的次日至满一年的前一日应当向劳动者每月支付两倍的工资 ，并视为自用工之日起满一年的当日已经与劳动者订立无固定期限劳动合同，应当立即与劳动者补订书面劳动合同。 ​​​​,2012-07-09 16:45,转发,评论,赞,微博 weibo.com,https://weibo.com/2646413841/yrEUMqQKt
45,//@北京市民政局: 参加基本医疗保险的参保人员，以下19家A类医院不用选择，可直接就医。,是,【小常识】#医疗保险#参加基本医疗保险的参保人员，以下19家A类医院不用选择，可直接就医。 ​​​​,2012-07-05 14:37,转发,评论,赞,微博 weibo.com,https://weibo.com/2646413841/yr2n16KwS
46,//@平安北京:    蜡烛送英雄，向年轻的战友致敬！,是,#微送行#【送别90后英雄】7月1日，贵州省六盘水协警陈涛在与一持刀滋事男子搏斗中，被刺穿胃、肝和主动脉，尽管伤口血流如注，他依然死死抓住歹徒不放，倒地时还对同事喊：抓住他，别让他跑了！当晚9时，陈涛因伤势过重经抢救无效壮烈牺牲。7月2日晚，六盘水市民在他倒下的地方燃上蜡烛，为英雄送行。 ​​​​,2012-07-05 14:34,转发,评论,赞,微博 weibo.com,https://weibo.com/2646413841/yr2lIrmBg
47,//@北京市民政局: 防暑降温新办法 40℃不得户外作业,是,【防暑降温新办法 40℃不得户外作业】《防暑降温管理办法》正式实施。新办法对高温室外露天作业时限和高温津贴等做出规定。日最高温达40℃以上，应停止当日室外露天作业，用人单位安排劳动者在35℃以上天气露天作业及不能采取措施将现场降到35℃以下的，应向劳动者发高温津贴。O网页链接 ​​​​,2012-07-05 14:33,转发,评论,赞,微博 weibo.com,https://weibo.com/2646413841/yr2larlg8
48,转发微博,是,【区县动态】#首都见义勇为基金会慰问房山区见义勇为人员#日前，首都见义勇为基金会到房山区看望并慰问见义勇为人员。询问他们的身体和生活状况，并分别赠送慰问金，叮嘱有关部门要给予他们特殊的关心和照顾，切实解决他们的实际困难，继续大力弘扬见义勇为精神，营造见义勇为社会氛围。 ​​​​,2012-07-05 14:30,转发,评论,赞,微博 weibo.com,https://weibo.com/2646413841/yr2k553G8
49,转发微博,是,#防盗知识之六#在窗户外您可安装护栏铁栅，且最好制成“井”字形。若没有安装护栏您可采用单扇移窗防盗法：即您可在移窗的滑槽内放一条质地坚硬的填充物，如木条、瓷条等，可有效防止窗户从外被打开。选择适合的填充物长度在睡觉前放置即可，您便可安心进入梦乡。 ​​​​,2012-07-05 11:12,转发,评论,赞,微博 weibo.com,https://weibo.com/2646413841/yr11U1DwR
50,准妈妈、新妈妈们，你们准备好了吗？ 我社区将会于世界人口日——7月11日上午9:30在居委会举办新妈妈经验交流会。欢迎大家参与！ 7月11日，我们不见不散~ ​​​​,否,,2012-07-04 11:04,转发,评论,赞,微博 weibo.com,https://weibo.com/2646413841/yqRy9m2PC
